coworking_id,coworking_name,operator,address,parish,matched_rule,source_url,website,active_status,verification_status,duplicate_group,review_note
web_018,Spaces Avenida da República 50,Spaces,"Avenida da República 50, 1050-196 Lisboa",Avenidas Novas,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,active,verified_official_site,,Official operator location listing.
osm_node_11665827947,The Block Lisboa,,"Rua Latino Coelho 63, 1.º andar, 1050-133 Lisboa",Avenidas Novas,office=coworking,https://www.openstreetmap.org/node/11665827947,https://www.theblocklisboa.com/,active,verified_official_site,,Official site offers flex memberships and private offices; recent 2026 events corroborate activity.
osm_node_12323330753,NOW Beato,,"Rua da Manutenção 67, 1900-319 Lisboa",Beato,office=coworking,https://www.openstreetmap.org/node/12323330753,,closed,verified_closed_manual_review,,User found the operation closed; no current operator page or recent activity located on 2026-07-25.
osm_node_11886704394,Sincera Coworking,,"Rua de Pedrouços 59A/59B, 1400-285 Lisboa",Belém,office=coworking|name_keyword_cowork,https://www.openstreetmap.org/node/11886704394,https://www.sinceracoworking.com/,active,verified_official_site,,"Official site lists coworking desks, prices, contact details and Restelo address; reviewed 2026-07-25."
osm_node_11880069091,FORJA Cowork + Studio,,"Rua das Pedralvas 5A, 1500-487 Lisboa",Benfica,office=coworking|name_keyword_cowork,https://www.openstreetmap.org/node/11880069091,https://www.forja.pt/,active,verified_official_site,,"Official site states open, publishes cowork services, hours and address; reviewed 2026-07-25."
osm_node_11880069089,Sabor e Arte Atelie Cowork,,"Rua 5, Bairro Pedralvas 3B, Lisboa",Benfica,name_keyword_cowork,https://www.openstreetmap.org/node/11880069089,https://www.facebook.com/saboreartecowork/,uncertain,excluded_non_target_workspace,,"User verified this is a small cake-making workshop venue, not a general laptop coworking space; excluded 2026-07-25."
osm_way_96854133,Regus — Lisbon Dom João V,,"Rua Dom João V 30, Amoreiras Palace, 1250-091 Lisboa",Campo de Ourique,amenity=coworking_space,https://www.openstreetmap.org/way/96854133,https://www.regus.com/pt/pt/6613,active,verified_official_site,,OSM coordinates match the official Regus Dom João V center; Regus offers coworking and day access despite Google category 'office rental agency'; reviewed 2026-07-25.
osm_node_10321568413,Resvés Cowork,,"Rua Saraiva de Carvalho 1C, 1250-240 Lisboa",Campo de Ourique,amenity=coworking_space|name_keyword_cowork,https://www.openstreetmap.org/node/10321568413,https://resvescowork.pt/,active,verified_official_site,,"Official site publishes current desk plans, trial booking and address; reviewed 2026-07-25."
web_027,Spaces Dom João V,Spaces,"Rua Dom João V 30, 1250-091 Lisboa",Campo de Ourique,official_site_discovery,https://www.spacesworks.com/pt/pt/lisboa/campolide/coworking,https://www.spacesworks.com/pt/pt/lisboa/campolide/coworking,active,verified_official_site,,Official operator location listing.
osm_way_155614383,LACS Conde d'Óbidos,,"Rocha do Conde de Óbidos, 1350-352 Lisboa",Estrela,office=coworking,https://www.openstreetmap.org/way/155614383,https://www.lacs.pt/,active,verified_official_site,,Current operator presence and June 2026 reviews/events corroborate active coworking; reviewed 2026-07-25.
osm_node_13468469969,Santander Work Café Santos,Banco Santander (Portugal),"Avenida Dom Carlos I 49, Lisboa",Estrela,office=coworking,https://www.openstreetmap.org/node/13468469969,https://www.santander.pt/work-cafe,active,verified_official_site,,Official Santander page lists this current Work Café and coworking service; reviewed 2026-07-25.
osm_way_155614371,,,,Estrela,office=coworking,https://www.openstreetmap.org/way/155614371,,closed,excluded_duplicate,,Unnamed adjacent building footprint duplicates the named LACS Conde d'Óbidos record; excluded 2026-07-25.
web_002,The Fyve,The Fyve,"Avenida Marechal Gomes da Costa 27 A/B, 1800-255 Lisboa",Marvila,official_site_discovery,https://www.thefyve.pt/,https://www.thefyve.pt/,active,verified_official_site,,Official site offers hot desks and dedicated desks.
osm_node_12526350974,WorkHub Prata,,"Rua Fernando Palha 29B, 1950-130 Lisboa",Marvila,office=coworking,https://www.openstreetmap.org/node/12526350974,https://workhub.pt/en/contacto/,active,verified_official_site,,Official WorkHub contact page lists the Prata location at this address; reviewed 2026-07-25.
osm_node_11882321570,Avila Spaces,,"Avenida Dom João II 52, 1990-096, Lisboa",Parque das Nações,office=coworking,https://www.openstreetmap.org/node/11882321570,https://avilaspaces.com/pt/servicos/coworking-lisboa/,active,verified_official_site,,Matched to official-site record within 0 m.
osm_node_11898720626,Inoffice,,"Alameda dos Oceanos 11A, 1990-196, Lisboa",Parque das Nações,office=coworking,https://www.openstreetmap.org/node/11898720626,https://www.inoffice.pt/,closed,verified_moved_outside_scope,,"Old Alameda dos Oceanos location no longer found; current operator address supplied by user is in Foros de Amora, Seixal, outside Lisbon municipality; excluded 2026-07-25."
web_017,Spaces Mar Vermelho Building,Spaces,"Avenida Dom João II 50, 1990-095 Lisboa",Parque das Nações,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,active,verified_official_site,,Official operator location listing.
osm_node_11777096574,Spaces Oriente,Spaces,"Avenida Aquilino Ribeiro Machado 8, 1800-399, Lisboa",Parque das Nações,office=coworking,https://www.openstreetmap.org/node/11777096574,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,active,verified_official_site,,Matched to official-site record within 0 m.
osm_node_6396669672,Heden Chiado,,"Largo Rafael Bordalo Pinheiro 29, 1200-369, Lisboa",Santa Maria Maior,office=coworking,https://www.openstreetmap.org/node/6396669672,https://heden.co/about-heden-coworking/,active,verified_official_site,,Matched to official-site record within 0 m.
web_011,Heden Trindade,Heden,"Rua Nova da Trindade 3, 1200-301 Lisboa",Santa Maria Maior,official_site_discovery,https://heden.co/about-heden-coworking/,https://heden.co/about-heden-coworking/,active,verified_official_site,,Listed as a current Heden coworking location.
osm_node_6385072016,Impact Hub Lisbon — Baixa Chiado,Impact Hub,"Travessa das Pedras Negras 1, 1.º, 1100-404 Lisboa",Santa Maria Maior,office=coworking,https://www.openstreetmap.org/node/6385072016,https://lisbon.impacthub.net/,active,verified_official_site,,Official current site lists coworking and corrected Baixa Chiado address; reviewed 2026-07-25.
web_025,Spaces Chiado,Spaces,"Rua Ivens 42, 1200-227 Lisboa",Santa Maria Maior,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,active,verified_official_site,,Official operator location listing.
osm_node_11869392777,Espaço Castilho,,"R. Castilho 13B, 1250-195, Lisboa",Santo António,office=coworking,https://www.openstreetmap.org/node/11869392777,,uncertain,excluded_false_positive,,Espaço Castilho is a building name beside Altis Grand Hotel. Hotel lists meeting rooms but no public coworking desk/day-pass product; excluded 2026-07-25.
osm_node_13926470143,On Cowork Spaces,,"Calçada do Moinho de Vento 5, 1150-236, Lisboa",Santo António,office=coworking|name_keyword_cowork,https://www.openstreetmap.org/node/13926470143,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,active,verified_official_site,,Matched to official-site record within 245 m.
osm_node_10015362767,Regus — Lisbon Avenida da Liberdade,Regus,"Avenida da Liberdade 110, 1269-046 Lisboa",Santo António,office=coworking,https://www.openstreetmap.org/node/10015362767,https://www.regus.com/pt/pt/21,active,verified_official_site,,OSM coordinates match the official Regus Avenida da Liberdade 110 center; Regus offers coworking and day access despite Google category 'office rental agency'; reviewed 2026-07-25.
osm_node_5069382167,Santander Work Café Amoreiras,Banco Santander (Portugal),"Avenida Engenheiro Duarte Pacheco 21-B, Lisboa",Santo António,office=coworking,https://www.openstreetmap.org/node/5069382167,https://www.santander.pt/work-cafe,active,verified_official_site,,Official Santander page lists this current Work Café and coworking service; reviewed 2026-07-25.
web_023,Spaces Braamcamp 52,Spaces,"Rua Braamcamp 52, 1250-051 Lisboa",Santo António,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,active,verified_official_site,,Official operator location listing.
osm_node_11777100031,Spaces Marquês de Pombal 14,Spaces,"Praça Marquês de Pombal 14, 1250-162, Lisboa",Santo António,office=coworking,https://www.openstreetmap.org/node/11777100031,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,active,verified_official_site,,Matched to official-site record within 64 m.
web_022,Spaces Rua Mouzinho da Silveira,Spaces,"Rua Mouzinho da Silveira 32, 1250-167 Lisboa",Santo António,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,active,verified_official_site,,Official operator location listing.
osm_way_98057563,The Base Lisbon,,"Travessa do Fala-Só 13B, Lisboa",Santo António,office=coworking|name_keyword_cowork,https://www.openstreetmap.org/way/98057563,https://baselisbon.com/,active,verified_official_site,,"Official site publishes current hot-desk pricing, hours and address; reviewed 2026-07-25."
web_001,Venture X Lisboa,Venture X,"Avenida da Liberdade 224, 1250-148 Lisboa",Santo António,official_site_discovery,https://venturex.pt/,https://venturex.pt/,active,verified_official_site,,Official site describes active coworking and shared workspaces.
osm_node_11892515134,WeWork — Rua Alexandre Herculano 50,WeWork,"Rua Alexandre Herculano 50, 1250-096 Lisboa",Santo António,office=coworking,https://www.openstreetmap.org/node/11892515134,https://www.wework.com/pt-PT/buildings/50-r-alexandre-herculano--lisbon,active,verified_official_site,,"Official location page lists coworking, current hours and address; reviewed 2026-07-25."
web_004,Business Networking Lounge,Business Networking Lounge,"Rua Mário Gomes Páscoa 8C, 1600-824 Lisboa",São Domingos de Benfica,official_site_discovery,https://www.bn-lounge.com/,https://www.bn-lounge.com/,active,verified_official_site,,Official site describes an active coworking space.
web_020,Spaces Laranjeiras Palace,Spaces,"Estrada das Laranjeiras 191-193, 1600-134 Lisboa",São Domingos de Benfica,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,active,verified_official_site,,Official operator location listing.
osm_node_5904542939,Heden Graça,,"Travessa da Pereira 35A, 1170-312 Lisboa",São Vicente,office=coworking,https://www.openstreetmap.org/node/5904542939,https://heden.co/,active,verified_official_site,,Current operator profile lists this location and recent activity; reviewed 2026-07-25.
web_006,Heden Rossio,Heden,"Largo do Duque de Cadaval 17, 1200-160 Lisboa",,official_site_discovery,https://heden.co/about-heden-coworking/,https://heden.co/about-heden-coworking/,active,verified_official_site,,Listed as a current Heden coworking location. Coordinates still required.
web_007,Heden Santa Apolónia,Heden,"Terminal de Cruzeiros de Lisboa, Rua Jardim do Tabaco, 1100-651 Lisboa",,official_site_discovery,https://heden.co/about-heden-coworking/,https://heden.co/about-heden-coworking/,active,verified_official_site,,Listed as a current Heden coworking location. Coordinates still required.
web_019,Spaces Torres de Lisboa,Spaces,"Rua Tomás da Fonseca, Torre G, 1600-209 Lisboa",,official_site_discovery,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,active,verified_official_site,,Official operator location listing. Coordinates still required.
