coworking_id,coworking_name,latitude,longitude,parish,active_status,source_url,collection_date,source_type,verification_status
osm_node_11777100031,Spaces Marquês de Pombal 14,38.7255835,-9.1488177,Santo António,active,https://www.openstreetmap.org/node/11777100031,2026-07-24,OpenStreetMap + official operator website,verified_official_site
web_022,Spaces Rua Mouzinho da Silveira,38.7232439,-9.1505323,Santo António,active,https://www.spacesworks.com/en/pt/lisboa/sete-rios/coworking,2026-07-24,official_operator_website,verified_official_site
osm_way_98057563,The Base Lisbon,38.7161181,-9.1440735,Santo António,active,https://www.openstreetmap.org/way/98057563,2026-07-24,OpenStreetMap,verified_official_site
web_001,Venture X Lisboa,38.7224782,-9.1468965,Santo António,active,https://venturex.pt/,2026-07-24,official_operator_website,verified_official_site
osm_node_11892515134,WeWork — Rua Alexandre Herculano 50,38.7218325,-9.1515312,Santo António,active,https://www.openstreetmap.org/node/11892515134,2026-07-24,OpenStreetMap,verified_official_site
web_004,Business Networking Lounge,38.7518526,-9.1717533,São Domingos de Benfica,active,https://www.bn-lounge.com/,2026-07-24,official_operator_website,verified_official_site
web_020,Spaces Laranjeiras Palace,38.7441954,-9.1680312,São Domingos de Benfica,active,https://www.spacesworks.com/en/pt/lisboa/portela/coworking,2026-07-24,official_operator_website,verified_official_site
osm_node_5904542939,Heden Graça,38.7173221,-9.128739,São Vicente,active,https://www.openstreetmap.org/node/5904542939,2026-07-24,OpenStreetMap,verified_official_site
web_006,Heden Rossio,38.7145909,-9.1418412,Santa Maria Maior,active,https://heden.co/coworking-rossio/,2026-07-24,official_operator_website,verified_official_site
web_007,Heden Santa Apolónia,38.7102209,-9.1263576,Santa Maria Maior,active,https://heden.co/about-heden-coworking/,2026-07-24,official_operator_website,verified_official_site
web_019,Spaces Torres de Lisboa,38.7564410,-9.1749607,São Domingos de Benfica,active,https://www.spacesworks.com/en/pt/77,2026-07-24,official_operator_website,verified_official_site
